"identifiant","pays","poids","csp","csp_père","csp_mère","education","education_pere","education_mere","genre","age","csp_avec_A","mobilite","age_cat"
420,"BE",0.34050584,"PI","C","OQ",5,2,3,1,22,"PI","PI_C_M","14-25"
424,"BE",0.68272525,"ONQ","ONQ","ONQ",2,1,2,1,48,"ONQ","ONQ_ONQ_M","41-65"
425,"AT",0.37941888,"PI","ONQ","OQ",5,2,2,1,40,"PI","PI_ONQ_M","26-40"
427,"AT",0.32495308,"C","PI","PI",3,3,3,1,30,"C","C_PI_M","26-40"
428,"AT",0.4188774,"C","C","C",5,4,4,1,27,"C","C_C_M","26-40"
430,"AT",0.3778844,"PI","PI","PI",2,2,2,2,38,"PI","PI_PI_F","26-40"
432,"AT",0.28516656,"C","OQ","66",3,3,2,1,81,"C","C_OQ_M",">65"
433,"BE",0.3278172,"PI","PI","66",5,2,1,1,47,"PI","PI_PI_M","41-65"
434,"AT",0.13601036,"C","OQ","OQ",5,3,3,2,21,"C","C_OQ_F","14-25"
437,"AT",0.21389662,"OQ","OQ","66",2,3,2,1,64,"OQ","OQ_OQ_M","41-65"
441,"AT",0.28516656,"OQ","OQ","66",3,3,1,1,80,"OQ","OQ_OQ_M",">65"
445,"AT",0.17744984,"OQ","OQ","ONQ",2,2,2,2,37,"OQ","OQ_ONQ_F","26-40"
446,"AT",0.15091838,"OQ","OQ","OQ",3,3,2,2,63,"OQ","OQ_OQ_F","41-65"
455,"AT",0.28503475,"PI","PI","PI",5,4,3,2,50,"PI","PI_PI_F","41-65"
456,"AT",0.45244855,"PI","C","C",3,5,5,2,27,"PI","PI_C_F","26-40"
457,"AT",0.22623695,"OQ","C","C",3,5,5,2,24,"C","OQ_C_F","14-25"
458,"AT",0.26780728,"OQ","C","OQ",3,2,2,1,69,"OQ","OQ_C_M",">65"
461,"AT",0.22623695,"OQ","66","PI",3,3,4,2,34,"C","OQ_PI_F","26-40"
462,"AT",0.30517182,"C","OQ","OQ",3,5,3,1,27,"C","C_OQ_M","26-40"
466,"AT",0.39337856,"C","OQ","66",5,3,2,1,29,"C","C_OQ_M","26-40"
468,"AT",0.15091838,"PI","OQ","ONQ",3,4,3,2,69,"PI","PI_ONQ_F",">65"
469,"AT",0.30826843,"C","OQ","OQ",3,1,2,2,47,"C","C_OQ_F","41-65"
473,"AT",0.2312065,"PI","OQ","OQ",3,3,1,2,40,"PI","PI_OQ_F","26-40"
474,"AT",0.14714652,"ONQ","ONQ","ONQ",2,2,2,1,43,"ONQ","ONQ_ONQ_M","41-65"
475,"BE",0.3788525,"OQ","OQ","OQ",3,1,1,1,31,"OQ","OQ_OQ_M","26-40"
477,"AT",0.2312065,"OQ","OQ","PI",3,2,2,2,40,"C","OQ_PI_F","26-40"
480,"AT",0.37661886,"C","OQ","OQ",3,2,2,2,58,"C","C_OQ_F","41-65"
481,"BE",0.7937718,"ONQ","ONQ","ONQ",1,1,1,2,82,"ONQ","ONQ_ONQ_F",">65"
482,"AT",0.28097573,"OQ","OQ","OQ",3,2,2,1,27,"OQ","OQ_OQ_M","26-40"
483,"AT",0.10859082,"OQ","OQ","66",2,2,2,1,35,"C","OQ_OQ_M","26-40"
485,"BE",0.35475767,"PI","ONQ","ONQ",3,1,3,2,40,"PI","PI_ONQ_F","26-40"
489,"AT",0.22333999,"PI","OQ","66",3,2,2,1,50,"PI","PI_OQ_M","41-65"
491,"BE",0.3647349,"PI","OQ","66",3,1,3,1,51,"PI","PI_OQ_M","41-65"
492,"AT",0.27793625,"C","ONQ","ONQ",3,2,2,2,57,"C","C_ONQ_F","41-65"
494,"AT",0.15868014,"OQ","OQ","OQ",2,2,2,1,40,"OQ","OQ_OQ_M","26-40"
496,"AT",0.36031,"PI","C","OQ",3,2,2,1,56,"PI","PI_C_M","41-65"
497,"AT",0.20292062,"OQ","C","C",3,3,3,2,30,"C","OQ_C_F","26-40"
498,"AT",0.27372035,"OQ","OQ","PI",3,2,2,1,32,"OQ","OQ_OQ_M","26-40"
500,"BE",0.3647349,"OQ","OQ","66",3,3,1,1,41,"OQ","OQ_OQ_M","41-65"
501,"AT",0.24020664,"OQ","ONQ","66",3,2,2,1,63,"C","OQ_ONQ_M","41-65"
502,"AT",0.3324386,"PI","OQ","PI",3,2,2,2,43,"PI","PI_PI_F","41-65"
508,"AT",0.33227235,"OQ","OQ","OQ",3,2,2,2,48,"C","OQ_OQ_F","41-65"
509,"BE",0.35475767,"OQ","OQ","OQ",3,1,1,2,49,"OQ","OQ_OQ_F","41-65"
513,"AT",0.40563828,"OQ","OQ","ONQ",3,2,2,2,27,"C","OQ_ONQ_F","26-40"
515,"BE",0.33119136,"PI","66","C",5,3,5,2,33,"PI","PI_C_F","26-40"
518,"AT",0.2131466,"PI","ONQ","66",3,2,2,1,58,"PI","PI_ONQ_M","41-65"
521,"BE",0.3647349,"C","OQ","ONQ",3,1,1,1,46,"C","C_OQ_M","41-65"
522,"AT",0.120032184,"OQ","OQ","OQ",3,3,3,2,28,"OQ","OQ_OQ_F","26-40"
526,"BE",0.3647349,"PI","ONQ","66",3,1,1,1,38,"PI","PI_ONQ_M","26-40"
530,"BE",0.35475767,"OQ","OQ","OQ",3,2,2,2,39,"C","OQ_OQ_F","26-40"
535,"BE",0.35475767,"OQ","OQ","PI",3,2,2,2,45,"OQ","OQ_PI_F","41-65"
536,"BE",0.3788525,"OQ","ONQ","66",3,1,1,1,34,"OQ","OQ_ONQ_M","26-40"
537,"BE",0.35475767,"OQ","OQ","ONQ",3,3,2,2,40,"OQ","OQ_ONQ_F","26-40"
540,"BE",0.70915115,"OQ","ONQ","66",2,3,3,1,17,"OQ","OQ_ONQ_M","14-25"
541,"AT",0.7074702,"PI","ONQ","66",3,3,3,1,23,"PI","PI_ONQ_M","14-25"
542,"BE",0.7937718,"OQ","OQ","OQ",1,1,1,2,71,"OQ","OQ_OQ_F",">65"
543,"AT",0.23284206,"OQ","OQ","OQ",2,2,2,1,58,"OQ","OQ_OQ_M","41-65"
544,"AT",0.21480903,"OQ","OQ","ONQ",3,2,2,2,54,"C","OQ_ONQ_F","41-65"
545,"AT",0.7074702,"C","C","OQ",3,5,2,1,23,"C","C_C_M","14-25"
546,"AT",0.6208492,"OQ","OQ","66",3,3,2,1,73,"C","OQ_OQ_M",">65"
547,"BE",0.70915115,"OQ","OQ","ONQ",1,1,1,1,32,"OQ","OQ_OQ_M","26-40"
549,"AT",0.11642103,"OQ","OQ","66",2,2,2,1,81,"OQ","OQ_OQ_M",">65"
550,"BE",0.435986,"C","OQ","OQ",3,1,1,1,82,"C","C_OQ_M",">65"
551,"AT",0.28117445,"PI","OQ","66",3,2,2,1,36,"PI","PI_OQ_M","26-40"
552,"AT",0.3104246,"OQ","C","C",3,3,3,1,76,"OQ","OQ_C_M",">65"
555,"AT",0.3537351,"OQ","OQ","66",3,2,2,1,34,"OQ","OQ_OQ_M","26-40"
558,"BE",0.3788525,"OQ","ONQ","66",3,1,1,1,28,"OQ","OQ_ONQ_M","26-40"
560,"BE",0.34050584,"C","PI","66",5,2,1,1,34,"C","C_PI_M","26-40"
568,"AT",0.18365827,"C","C","PI",5,5,3,2,35,"C","C_PI_F","26-40"
569,"AT",0.3443741,"C","PI","66",5,3,3,1,41,"C","C_PI_M","41-65"
571,"AT",0.12941365,"OQ","OQ","66",3,3,2,1,69,"OQ","OQ_OQ_M",">65"
575,"BE",0.66404945,"OQ","OQ","OQ",2,1,1,2,42,"C","OQ_OQ_F","41-65"
577,"BE",0.3788525,"OQ","PI","OQ",3,3,3,1,32,"C","OQ_PI_M","26-40"
579,"AT",0.3743938,"OQ","OQ","OQ",2,2,2,2,63,"OQ","OQ_OQ_F","41-65"
580,"BE",0.7937718,"OQ","ONQ","ONQ",1,1,1,2,70,"OQ","OQ_ONQ_F",">65"
581,"AT",0.2793701,"C","OQ","OQ",3,3,2,1,73,"C","C_OQ_M",">65"
582,"BE",0.33119136,"C","C","C",5,5,5,2,31,"C","C_C_F","26-40"
583,"AT",0.3183479,"ONQ","OQ","C",3,3,3,1,24,"ONQ","ONQ_OQ_M","14-25"
586,"BE",0.34050584,"C","PI","66",5,3,2,1,34,"C","C_PI_M","26-40"
588,"BE",0.31884983,"OQ","OQ","OQ",5,2,2,2,37,"OQ","OQ_OQ_F","26-40"
589,"BE",0.3647349,"OQ","C","C",3,5,5,1,49,"OQ","OQ_C_M","41-65"
591,"BE",0.3278172,"C","ONQ","66",5,1,1,1,45,"C","C_ONQ_M","41-65"
600,"BE",0.31884983,"C","OQ","ONQ",5,3,3,2,37,"C","C_ONQ_F","26-40"
605,"AT",0.20745198,"PI","PI","OQ",3,2,2,2,35,"PI","PI_OQ_F","26-40"
606,"BE",0.33119136,"C","OQ","ONQ",5,3,1,2,30,"C","C_ONQ_F","26-40"
608,"BE",0.3788525,"PI","OQ","OQ",3,1,3,1,29,"PI","PI_OQ_M","26-40"
614,"AT",0.21096806,"OQ","OQ","66",2,2,2,1,68,"C","OQ_OQ_M",">65"
616,"AT",0.3608218,"C","C","66",5,4,2,1,69,"C","C_C_M",">65"
617,"BE",0.70915115,"OQ","C","ONQ",2,5,3,1,17,"OQ","OQ_C_M","14-25"
621,"AT",0.097304165,"PI","66","PI",3,2,4,2,36,"PI","PI_PI_F","26-40"
622,"AT",0.27634498,"OQ","C","66",1,1,1,1,33,"C","OQ_C_M","26-40"
623,"AT",0.32050398,"C","C","C",3,3,4,1,28,"C","C_C_M","26-40"
624,"AT",0.28746602,"OQ","OQ","PI",2,5,3,2,22,"C","OQ_PI_F","14-25"
627,"AT",0.2546511,"OQ","OQ","66",3,2,2,1,51,"C","OQ_OQ_M","41-65"
628,"BE",0.34050584,"C","C","PI",5,5,5,1,22,"C","C_C_M","14-25"
629,"BE",0.81609595,"PI","OQ","OQ",2,1,2,1,55,"PI","PI_OQ_M","41-65"
633,"BE",0.68272525,"OQ","OQ","66",2,2,5,1,45,"OQ","OQ_OQ_M","41-65"
641,"AT",0.24819814,"C","C","66",2,1,1,1,53,"C","C_C_M","41-65"
642,"BE",0.33119136,"PI","PI","OQ",5,3,3,2,32,"PI","PI_OQ_F","26-40"
647,"AT",0.21137355,"OQ","OQ","66",2,2,1,1,62,"C","OQ_OQ_M","41-65"
649,"AT",0.37696972,"OQ","ONQ","ONQ",2,2,2,2,55,"OQ","OQ_ONQ_F","41-65"
