"identifiant","pays","poids","csp","csp_père","csp_mère","education","education_pere","education_mere","genre","age","csp_avec_A","mobilite","mobilite_educ","age_cat"
109301,"GB",7.5960736,"5","1","1",5,1,1,1,48,"C","C_ONQ_F","5_1_F","41-65"
109308,"DE",2.040583,"3","3","2",3,3,2,2,38,"C","C_OQ_M","3_3_M","26-40"
109312,"GB",3.8527856,"5","5","5",5,5,5,2,31,"C","C_C_M","5_5_M","26-40"
109315,"GB",3.8527856,"3","5","3",3,5,3,2,20,"C","C_C_M","3_5_M","14-25"
109319,"GB",3.8527856,"3","1","2",3,1,2,2,24,"PI","PI_C_M","3_1_M","14-25"
109320,"DE",5.5273194,"2","3","2",2,3,2,2,67,"OQ","OQ_OQ_M","2_3_M",">65"
109322,"GB",1.7952399,"5","1","1",5,1,1,2,35,"C","C_OQ_M","5_1_M","26-40"
109332,"DE",1.9828445,"5","3","3",5,3,3,1,47,"OQ","OQ_OQ_F","5_3_F","41-65"
109403,"DE",1.6337285,"5","3","3",5,3,3,2,39,"C","C_OQ_M","5_3_M","26-40"
109404,"GB",3.8527856,"5","5","5",5,5,5,2,24,"OQ","OQ_C_M","5_5_M","14-25"
109405,"GB",4.527059,"5","5","5",5,5,5,1,33,"PI","PI_C_F","5_5_F","26-40"
109408,"GB",3.8527856,"5","5","5",5,5,5,2,30,"OQ","OQ_C_M","5_5_M","26-40"
109409,"DE",2.040583,"3","3","3",3,3,3,2,42,"PI","PI_OQ_M","3_3_M","41-65"
109411,"GB",1.7952399,"3","5","3",3,5,3,2,45,"C","C_C_M","3_5_M","41-65"
109420,"GB",3.8527856,"5","5","5",5,5,5,2,32,"C","C_C_M","5_5_M","26-40"
109507,"GB",1.7952399,"5","5","3",5,5,3,2,36,"PI","PI_C_M","5_5_M","26-40"
109509,"GB",3.5904799,"5","2","3",5,2,3,2,35,"C","C_OQ_M","5_2_M","26-40"
109511,"GB",4.527059,"5","5","5",5,5,5,1,27,"C","C_C_F","5_5_F","26-40"
109513,"GB",3.8527856,"5","5","3",5,5,3,2,29,"PI","PI_C_M","5_5_M","26-40"
109514,"GB",3.8527856,"2","3","5",2,3,5,2,34,"C","C_C_M","2_3_M","26-40"
109517,"GB",6.7905884,"3","5","5",3,5,5,1,24,"C","C_OQ_F","3_5_F","14-25"
109528,"DE",2.2776744,"5","5","5",5,5,5,2,34,"C","C_C_M","5_5_M","26-40"
109602,"GB",1.5345604,"3","5","2",3,5,2,2,38,"C","C_C_M","3_5_M","26-40"
109603,"GB",4.6036816,"5","2","1",5,2,1,2,44,"C","C_OQ_M","5_2_M","41-65"
109607,"GB",1.6466693,"3","3","3",3,3,3,2,32,"C","C_C_M","3_3_M","26-40"
109610,"GB",4.9400077,"2","2","2",2,2,2,2,18,"C","C_OQ_M","2_2_M","14-25"
109612,"GB",3.069121,"3","1","1",3,1,1,2,39,"C","C_ONQ_M","3_1_M","26-40"
109613,"GB",1.768763,"1","1","1",1,1,1,2,67,"ONQ","ONQ_ONQ_M","1_1_M",">65"
109619,"GB",1.5345604,"5","1","1",5,1,1,2,37,"PI","PI_OQ_M","5_1_M","26-40"
109621,"GB",4.6036816,"2","5","1",2,5,1,2,53,"PI","PI_C_M","2_5_M","41-65"
109623,"DE",2.040583,"3","3","3",3,3,3,2,54,"C","C_OQ_M","3_3_M","41-65"
109624,"GB",4.9400077,"2","2","1",2,2,1,2,16,"OQ","OQ_PI_M","2_2_M","14-25"
109629,"DE",1.6337285,"5","2","3",5,2,3,2,49,"C","C_OQ_M","5_2_M","41-65"
109702,"GB",9.054118,"5","2","1",5,2,1,1,28,"PI","PI_OQ_F","5_1_F","26-40"
109704,"GB",1.9263928,"3","3","2",3,3,2,2,30,"C","C_C_M","3_3_M","26-40"
109709,"GB",3.7980368,"5","5","3",5,5,3,1,42,"C","C_OQ_F","5_3_F","41-65"
109710,"GB",5.697055,"5","5","5",5,5,5,1,46,"OQ","OQ_C_F","5_5_F","41-65"
109801,"GB",4.527059,"5","5","5",5,5,5,1,30,"OQ","OQ_C_F","5_5_F","26-40"
109808,"GB",4.138454,"2","2","2",2,2,2,2,61,"OQ","OQ_OQ_M","2_2_M","41-65"
109814,"GB",3.8527856,"5","1","1",5,1,1,2,32,"PI","PI_OQ_M","5_1_M","26-40"
109816,"GB",1.8990184,"5","5","5",5,5,5,1,44,"C","C_C_F","5_5_F","41-65"
109821,"GB",4.138454,"1","1","1",1,1,1,2,80,"OQ","OQ_OQ_M","1_1_M",">65"
109906,"GB",2.069227,"5","1","5",5,1,5,2,98,"C","C_ONQ_M","5_1_M",">65"
109908,"GB",5.3857203,"5","2","1",5,2,1,2,48,"C","C_PI_M","5_2_M","41-65"
109912,"GB",3.8527856,"5","1","1",5,1,1,2,31,"PI","PI_OQ_M","5_1_M","26-40"
109913,"GB",3.8527856,"5","2","2",5,2,2,2,31,"PI","PI_OQ_M","5_2_M","26-40"
109915,"GB",4.138454,"5","2","1",5,2,1,2,79,"C","C_PI_M","5_2_M",">65"
109916,"GB",1.8990184,"5","1","1",5,1,1,1,40,"C","C_ONQ_F","5_1_F","26-40"
109917,"GB",3.5904799,"5","2","2",5,2,2,2,36,"C","C_C_M","5_2_M","26-40"
109918,"GB",2.069227,"2","1","1",2,1,1,2,83,"OQ","OQ_ONQ_M","2_1_M",">65"
109923,"GB",3.5904799,"5","5","2",5,5,2,2,36,"C","C_C_M","5_5_M","26-40"
110001,"GB",7.705571,"3","5","2",3,5,2,2,18,"ONQ","ONQ_C_M","3_5_M","14-25"
110003,"GB",4.138454,"1","1","1",1,1,1,2,55,"C","C_OQ_M","1_1_M","41-65"
110004,"GB",4.527059,"3","1","2",3,1,2,1,31,"PI","PI_PI_F","3_2_F","26-40"
110006,"GB",5.3857203,"3","1","1",3,1,1,2,49,"C","C_OQ_M","3_1_M","41-65"
110008,"GB",9.631965,"5","5","2",5,5,2,2,24,"C","C_C_M","5_5_M","14-25"
110010,"GB",1.7952399,"5","1","1",5,1,1,2,39,"PI","PI_OQ_M","5_1_M","26-40"
110012,"GB",2.069227,"3","5","3",3,5,3,2,65,"OQ","OQ_ONQ_M","3_5_M","41-65"
110013,"GB",3.5904799,"3","3","3",3,3,3,2,45,"C","C_PI_M","3_3_M","41-65"
110016,"GB",9.054118,"2","5","1",2,5,1,1,16,"C","C_ONQ_F","2_1_F","14-25"
110017,"GB",2.069227,"5","1","1",5,1,1,2,57,"OQ","OQ_PI_M","5_1_M","41-65"
110018,"GB",7.705571,"5","5","5",5,5,5,2,22,"C","C_OQ_M","5_5_M","14-25"
110023,"GB",5.697055,"5","1","1",5,1,1,1,47,"C","C_ONQ_F","5_1_F","41-65"
110101,"GB",5.3857203,"5","5","2",5,5,2,2,41,"C","C_C_M","5_5_M","41-65"
110102,"GB",2.069227,"1","2","1",1,2,1,2,72,"OQ","OQ_PI_M","1_2_M",">65"
110106,"GB",2.069227,"5","5","1",5,5,1,2,57,"C","C_PI_M","5_5_M","41-65"
110107,"GB",4.138454,"1","1","1",1,1,1,2,61,"OQ","OQ_OQ_M","1_1_M","41-65"
110108,"DE",1.9828445,"5","5","3",5,5,3,1,48,"PI","PI_PI_F","5_3_F","41-65"
110115,"GB",3.5904799,"5","2","2",5,2,2,2,35,"OQ","OQ_OQ_M","5_2_M","26-40"
110118,"GB",5.697055,"5","1","1",5,1,1,1,40,"C","C_ONQ_F","5_1_F","26-40"
